mark,model,version,version_production_years,version_doors,version_body_type,specific_version,year,segment,transmission_full,transmission_short,engine_type,fuel_type,engine_capacity (cc),turbo,urban_consumption (l/100km),extra_urban_consumption (l/100km),combined_consumption (l/100km),co2_emission (g/km),weight,start/stop_system (yes/no)
BMW,BMW 2-series Gran Coupe,"2020-present,4doors,sedan",2020-present,4doors,sedan,2020 BMW 218i Gran Coupe ,2020,c (small medium),6 speed manual transmission,Manual,fuel engine,gasoline,1499,"yes, with intercooler","7,3 ","4,3 ",,128,1325,yes
BMW,BMW 2-series Gran Coupe,"2020-present,4doors,sedan",2020-present,4doors,sedan,2020 BMW 218i Gran Coupe ,2020,c (small medium),7 speed automatic with double clutch,Automatic,fuel engine,gasoline,1499,"yes, with intercooler","6,2 ","4,3 ",,128,1350,yes
BMW,BMW 2-series Gran Coupe,"2020-present,4doors,sedan",2020-present,4doors,sedan,2020 BMW 218i Gran Coupe Corporate Executive ,2020,c (small medium),6 speed manual transmission,Manual,fuel engine,gasoline,1499,"yes, with intercooler","7,3 ","4,3 ",,128,1325,yes
BMW,BMW 2-series Gran Coupe,"2020-present,4doors,sedan",2020-present,4doors,sedan,2020 BMW 218i Gran Coupe Corporate Executive ,2020,c (small medium),7 speed automatic with double clutch,Automatic,fuel engine,gasoline,1499,"yes, with intercooler","6,2 ","4,3 ",,128,1350,yes
BMW,BMW 2-series Gran Coupe,"2020-present,4doors,sedan",2020-present,4doors,sedan,2020 BMW 220i Gran Coupe ,2020,c (small medium),7 speed automatic with double clutch,Automatic,fuel engine,gasoline,1998,"yes, with intercooler",- ,- ,"5,9 ",136,1405,yes
BMW,BMW 2-series Gran Coupe,"2020-present,4doors,sedan",2020-present,4doors,sedan,2020 BMW M235i XDrive Gran Coupe ,2020,c (small medium),7 speed automatic with double clutch,Automatic,fuel engine,gasoline,1998,"yes, with intercooler","8,5 ","5,6 ",,162,1545,yes
BMW,BMW 2-series Gran Coupe,"2020-present,4doors,sedan",2020-present,4doors,sedan,2020 BMW 216d Gran Coupe ,2020,c (small medium),6 speed automatic,Automatic,fuel engine,diesel,1496,"yes, with intercooler",- ,- ,"4,6 ",120,1405,yes
BMW,BMW 2-series Gran Coupe,"2020-present,4doors,sedan",2020-present,4doors,sedan,2020 BMW 218d Gran Coupe ,2020,c (small medium),6 speed manual transmission,Manual,fuel engine,diesel,1995,"yes, with intercooler","5,0 ","3,6 ",,121,1400,yes
BMW,BMW 2-series Gran Coupe,"2020-present,4doors,sedan",2020-present,4doors,sedan,2020 BMW 218d Gran Coupe ,2020,c (small medium),8 speed automatic,Automatic,fuel engine,diesel,1995,"yes, with intercooler","4,6 ","3,9 ",,128,1445,yes
BMW,BMW 2-series Gran Coupe,"2020-present,4doors,sedan",2020-present,4doors,sedan,2020 BMW 220d Gran Coupe ,2020,c (small medium),8 speed automatic,Automatic,fuel engine,diesel,1995,"yes, with intercooler","4,9 ","3,8 ",,128,1480,yes
BMW,BMW 2-series Gran Coupe,"2020-present,4doors,sedan",2020-present,4doors,sedan,2020 BMW 220d XDrive Gran Coupe ,2020,c (small medium),8 speed automatic,Automatic,fuel engine,diesel,1995,"yes, with intercooler","5,1 ","4,2 ",,136,1540,yes
BMW,BMW iX3,"2020-present,5doors,suv",2020-present,5doors,suv,2020 BMW IX3 High Executive ,2020,m (large suv),traploze automatic,Automatic,electric motor,n/a,No info,No info,No info,No info,No info,0,2160,yes
BMW,BMW iX3,"2020-present,5doors,suv",2020-present,5doors,suv,2020 BMW IX3 Executive ,2020,m (large suv),traploze automatic,Automatic,electric motor,n/a,No info,No info,No info,No info,No info,0,2160,yes
BMW,BMW 8-series Cabrio,"2019-present,2doors,convertible",2019-present,2doors,convertible,2020 BMW 840i Cabrio ,2020,g (sport),8 speed automatic,Automatic,fuel engine,gasoline,2998,"yes, with intercooler",- ,- ,"8,2 ",188,1815,yes
BMW,BMW 8-series Cabrio,"2019-present,2doors,convertible",2019-present,2doors,convertible,2020 BMW 840i XDrive Cabrio ,2020,g (sport),8 speed automatic,Automatic,fuel engine,gasoline,2998,"yes, with intercooler",- ,- ,"8,7 ",199,1890,yes
BMW,BMW 8-series Cabrio,"2019-present,2doors,convertible",2019-present,2doors,convertible,2020 BMW 840d XDrive Cabrio ,2020,g (sport),8 speed automatic,Automatic,fuel engine,diesel,2993,"yes, two",- ,- ,,168,1930,yes
BMW,BMW 8-series Cabrio,"2019-present,2doors,convertible",2019-present,2doors,convertible,2019 BMW 840i Cabrio ,2019,g (sport),8 speed automatic,Automatic,fuel engine,gasoline,2998,"yes, with intercooler","9,1 ","6,4 ",,190,1805,yes
BMW,BMW 8-series Cabrio,"2019-present,2doors,convertible",2019-present,2doors,convertible,2019 BMW 840i XDrive Cabrio ,2019,g (sport),8 speed automatic,Automatic,fuel engine,gasoline,2998,"yes, with intercooler","9,7 ","6,6 ",,202,1855,yes
BMW,BMW 8-series Cabrio,"2019-present,2doors,convertible",2019-present,2doors,convertible,2019 BMW M850i XDrive Cabrio ,2019,g (sport),8 speed automatic,Automatic,fuel engine,gasoline,4395,"yes, two","13,6 ","8,0 ","10,8 ",247,2025,yes
BMW,BMW 8-series Cabrio,"2019-present,2doors,convertible",2019-present,2doors,convertible,2019 BMW M8 Cabrio ,2019,g (sport),8 speed automatic,Automatic,fuel engine,gasoline,4395,"yes, two","15,2 ","7,9 ","11,4 ",263,2000,yes
BMW,BMW 8-series Cabrio,"2019-present,2doors,convertible",2019-present,2doors,convertible,2019 BMW M8 Competition Cabrio ,2019,g (sport),8 speed automatic,Automatic,fuel engine,gasoline,4395,"yes, two","15,2 ","7,9 ","11,4 ",263,2000,yes
BMW,BMW 8-series Cabrio,"2019-present,2doors,convertible",2019-present,2doors,convertible,2019 BMW 840d XDrive Cabrio ,2019,g (sport),8 speed automatic,Automatic,fuel engine,diesel,2993,"yes, two","7,3 ","5,1 ",,180,1930,yes
BMW,BMW 8-series Gran Coupe,"2019-present,4doors,sedan",2019-present,4doors,sedan,2020 BMW 840i Gran Coupe ,2020,g (sport),8 speed automatic,Automatic,fuel engine,gasoline,2998,"yes, with intercooler",- ,- ,"8,2 ",186,1790,yes
BMW,BMW 8-series Gran Coupe,"2019-present,4doors,sedan",2019-present,4doors,sedan,2020 BMW 840i XDrive Gran Coupe ,2020,g (sport),8 speed automatic,Automatic,fuel engine,gasoline,2998,"yes, with intercooler",- ,- ,"8,6 ",197,1850,yes
BMW,BMW 8-series Gran Coupe,"2019-present,4doors,sedan",2019-present,4doors,sedan,2020 BMW M8 Gran Coupe ,2020,g (sport),8 speed automatic,Automatic,fuel engine,gasoline,4395,"yes, two","15,2 ","8,1 ","11,4 ",263,1970,yes
BMW,BMW 8-series Gran Coupe,"2019-present,4doors,sedan",2019-present,4doors,sedan,2020 BMW M8 Competition Gran Coupe ,2020,g (sport),8 speed automatic,Automatic,fuel engine,gasoline,4395,"yes, two","15,2 ","8,1 ","11,4 ",263,1970,yes
BMW,BMW 8-series Gran Coupe,"2019-present,4doors,sedan",2019-present,4doors,sedan,2020 BMW 840d XDrive Gran Coupe ,2020,g (sport),8 speed automatic,Automatic,fuel engine,diesel,2993,"yes, two",- ,- ,,167,1970,yes
BMW,BMW 8-series Gran Coupe,"2019-present,4doors,sedan",2019-present,4doors,sedan,2019 BMW 840i Gran Coupe ,2019,g (sport),8 speed automatic,Automatic,fuel engine,gasoline,2998,"yes, with intercooler","8,9 ","6,2 ",,188,1775,yes
BMW,BMW 8-series Gran Coupe,"2019-present,4doors,sedan",2019-present,4doors,sedan,2019 BMW 840i XDrive Gran Coupe ,2019,g (sport),8 speed automatic,Automatic,fuel engine,gasoline,2998,"yes, with intercooler","9,5 ","6,3 ",,200,1830,yes
BMW,BMW 8-series Gran Coupe,"2019-present,4doors,sedan",2019-present,4doors,sedan,2019 BMW M850i XDrive Gran Coupe ,2019,g (sport),8 speed automatic,Automatic,fuel engine,gasoline,4395,"yes, two","13,7 ","7,7 ","10,9 ",249,1985,yes
BMW,BMW 8-series Gran Coupe,"2019-present,4doors,sedan",2019-present,4doors,sedan,2019 BMW 840d XDrive Gran Coupe ,2019,g (sport),8 speed automatic,Automatic,fuel engine,diesel,2993,"yes, two","7,3 ","5,1 ",,181,1900,yes
BMW,BMW X7,"2019-present,5doors,suv",2019-present,5doors,suv,2020 BMW X7 XDrive40i ,2020,m (large suv),8 speed automatic,Automatic,fuel engine,gasoline,2998,"yes, two",- ,- ,"10,1 ",231,2295,yes
BMW,BMW X7,"2019-present,5doors,suv",2019-present,5doors,suv,2020 BMW X7 XDrive40d ,2020,m (large suv),8 speed automatic,Automatic,fuel engine,diesel,2993,"yes, with intercooler","7,5 ","5,7 ","7,7 ",204,2445,yes
BMW,BMW X7,"2019-present,5doors,suv",2019-present,5doors,suv,2019 BMW X7 XDrive40i ,2019,m (large suv),8 speed automatic,Automatic,fuel engine,gasoline,2998,"yes, two","10,5 ","7,7 ",,250,2295,yes
BMW,BMW X7,"2019-present,5doors,suv",2019-present,5doors,suv,2019 BMW X7 M50i ,2019,m (large suv),8 speed automatic,Automatic,fuel engine,gasoline,4395,"yes, two","14,9 ","8,5 ","12,3 ",280,2455,yes
BMW,BMW X7,"2019-present,5doors,suv",2019-present,5doors,suv,2019 BMW X7 XDrive30d ,2019,m (large suv),8 speed automatic,Automatic,fuel engine,diesel,2993,"yes, with intercooler","7,3 ","6,1 ",,216,2345,yes
BMW,BMW X7,"2019-present,5doors,suv",2019-present,5doors,suv,2019 BMW X7 M50d ,2019,m (large suv),8 speed automatic,Automatic,fuel engine,diesel,2993,"yes, with intercooler","7,8 ","6,7 ",,235,2435,yes
BMW,BMW i8 Roadster,"2018-present,2doors,coupe",2018-present,2doors,coupe,2018 BMW I8 Roadster ,2018,g (sport),6 speed automatic,Automatic,plugin hybrid,gasoline,1499,"yes, with intercooler",- ,- ,,46,1570,yes
BMW,BMW i8 Coupe,"2018-present,2doors,coupe",2018-present,2doors,coupe,2018 BMW I8 Coupe ,2018,g (sport),6 speed automatic,Automatic,plugin hybrid,gasoline,1499,"yes, with intercooler",- ,- ,,42,1510,yes
BMW,BMW X2,"2018-present,5doors,suv",2018-present,5doors,suv,2020 BMW X2 XDrive25e ,2020,l (small suv),6 speed automatic with double clutch,Automatic,plugin hybrid,gasoline,1499,"yes, with intercooler",- ,- ,"1,7 ",38,1705,yes
BMW,BMW X2,"2018-present,5doors,suv",2018-present,5doors,suv,2019 BMW X2 M35i ,2019,l (small suv),8 speed automatic with double clutch,Automatic,fuel engine,gasoline,1998,"yes, two","8,3 ","5,9 ","7,5 ",174,1585,yes
BMW,BMW X2,"2018-present,5doors,suv",2018-present,5doors,suv,2018 BMW X2 SDrive18i ,2018,l (small suv),6 speed manual transmission,Manual,fuel engine,gasoline,1499,"yes, with intercooler","6,9 ","4,7 ","6,1 ",139,1375,yes
BMW,BMW X2,"2018-present,5doors,suv",2018-present,5doors,suv,2018 BMW X2 SDrive18i ,2018,l (small suv),7 speed automatic with double clutch,Automatic,fuel engine,gasoline,1499,"yes, with intercooler","6,8 ","4,6 ","6,2 ",143,1395,yes
BMW,BMW X2,"2018-present,5doors,suv",2018-present,5doors,suv,2018 BMW X2 SDrive20i ,2018,l (small suv),7 speed automatic with double clutch,Automatic,fuel engine,gasoline,1998,"yes, with intercooler","6,8 ","5,0 ","6,4 ",147,1435,yes
BMW,BMW X2,"2018-present,5doors,suv",2018-present,5doors,suv,2018 BMW X2 XDrive20i ,2018,l (small suv),8 speed automatic with double clutch,Automatic,fuel engine,gasoline,1998,"yes, with intercooler","7,2 ","5,7 ","6,8 ",157,1525,yes
BMW,BMW X2,"2018-present,5doors,suv",2018-present,5doors,suv,2018 BMW X2 SDrive16d ,2018,l (small suv),6 speed manual transmission,Manual,fuel engine,diesel,1496,"yes, with intercooler",- ,- ,"4,9 ",128,1450,yes
BMW,BMW X2,"2018-present,5doors,suv",2018-present,5doors,suv,2018 BMW X2 SDrive16d ,2018,l (small suv),7 speed automatic with double clutch,Automatic,fuel engine,diesel,1496,"yes, with intercooler",- ,- ,"5,0 ",133,1470,yes
BMW,BMW X2,"2018-present,5doors,suv",2018-present,5doors,suv,2018 BMW X2 SDrive18d ,2018,l (small suv),6 speed manual transmission,Manual,fuel engine,diesel,1995,"yes, with intercooler","5,3 ","4,4 ","5,0 ",133,1475,yes
BMW,BMW X2,"2018-present,5doors,suv",2018-present,5doors,suv,2018 BMW X2 SDrive18d ,2018,l (small suv),8 speed automatic,Automatic,fuel engine,diesel,1995,"yes, with intercooler","4,9 ","4,0 ","5,3 ",140,1510,yes
BMW,BMW X2,"2018-present,5doors,suv",2018-present,5doors,suv,2018 BMW X2 XDrive18d ,2018,l (small suv),6 speed manual transmission,Manual,fuel engine,diesel,1995,"yes, with intercooler","5,3 ","4,4 ","5,5 ",144,1555,yes
BMW,BMW X2,"2018-present,5doors,suv",2018-present,5doors,suv,2018 BMW X2 XDrive18d ,2018,l (small suv),8 speed automatic,Automatic,fuel engine,diesel,1995,"yes, with intercooler","5,1 ","4,3 ","5,5 ",146,1575,yes
BMW,BMW X2,"2018-present,5doors,suv",2018-present,5doors,suv,2018 BMW X2 SDrive20d ,2018,l (small suv),8 speed automatic,Automatic,fuel engine,diesel,1995,"yes, with intercooler","4,9 ","4,0 ","5,3 ",139,1515,yes
BMW,BMW X2,"2018-present,5doors,suv",2018-present,5doors,suv,2018 BMW X2 XDrive20d ,2018,l (small suv),8 speed automatic,Automatic,fuel engine,diesel,1995,"yes, with intercooler","5,5 ","4,5 ","5,6 ",147,1575,yes
BMW,BMW X2,"2018-present,5doors,suv",2018-present,5doors,suv,2018 BMW X2 XDrive25d ,2018,l (small suv),8 speed automatic,Automatic,fuel engine,diesel,1995,"yes, with intercooler","5,5 ","4,5 ","5,7 ",149,1595,yes
BMW,BMW 8-series Coupe,"2018-present,2doors,coupe",2018-present,2doors,coupe,2020 BMW 840i Coupe ,2020,g (sport),8 speed automatic,Automatic,fuel engine,gasoline,2998,"yes, with intercooler",- ,- ,"8,0 ",183,1705,yes
BMW,BMW 8-series Coupe,"2018-present,2doors,coupe",2018-present,2doors,coupe,2020 BMW 840i XDrive Coupe ,2020,g (sport),8 speed automatic,Automatic,fuel engine,gasoline,2998,"yes, with intercooler",- ,- ,"8,5 ",195,1770,yes
BMW,BMW 8-series Coupe,"2018-present,2doors,coupe",2018-present,2doors,coupe,2020 BMW 840d XDrive Coupe ,2020,g (sport),8 speed automatic,Automatic,fuel engine,diesel,2993,"yes, two",- ,- ,,163,1890,yes
BMW,BMW 8-series Coupe,"2018-present,2doors,coupe",2018-present,2doors,coupe,2019 BMW 840i Coupe ,2019,g (sport),8 speed automatic,Automatic,fuel engine,gasoline,2998,"yes, with intercooler","8,9 ","6,3 ",,184,1685,yes
BMW,BMW 8-series Coupe,"2018-present,2doors,coupe",2018-present,2doors,coupe,2019 BMW 840i XDrive Coupe ,2019,g (sport),8 speed automatic,Automatic,fuel engine,gasoline,2998,"yes, with intercooler","9,5 ","6,4 ",,198,1745,yes
BMW,BMW 8-series Coupe,"2018-present,2doors,coupe",2018-present,2doors,coupe,2019 BMW M8 Coupe ,2019,g (sport),8 speed automatic,Automatic,fuel engine,gasoline,4395,"yes, two","15,2 ","7,7 ","11,3 ",259,1875,yes
BMW,BMW 8-series Coupe,"2018-present,2doors,coupe",2018-present,2doors,coupe,2019 BMW M8 Competition Coupe ,2019,g (sport),8 speed automatic,Automatic,fuel engine,gasoline,4395,"yes, two","15,2 ","7,7 ","11,3 ",259,1875,yes
BMW,BMW 8-series Coupe,"2018-present,2doors,coupe",2018-present,2doors,coupe,2018 BMW M850i XDrive Coupe ,2018,g (sport),8 speed automatic,Automatic,fuel engine,gasoline,4395,"yes, two","13,1 ","7,9 ","10,7 ",246,1905,yes
BMW,BMW 8-series Coupe,"2018-present,2doors,coupe",2018-present,2doors,coupe,2018 BMW 840d XDrive Coupe ,2018,g (sport),8 speed automatic,Automatic,fuel engine,diesel,2993,"yes, two","7,5 ","5,3 ",,176,1805,yes
BMW,BMW 6-series GT,"2020-present,5doors,hatchback",2020-present,5doors,hatchback,2020 BMW 630i Gran Turismo ,2020,e (large mid-size),8 speed automatic,Automatic,fuel engine,gasoline,1998,"yes, with intercooler","7,2 ","5,2 ","6,9 ",156,1760,yes
BMW,BMW 6-series GT,"2020-present,5doors,hatchback",2020-present,5doors,hatchback,2020 BMW 640i Gran Turismo ,2020,e (large mid-size),8 speed automatic,Automatic,fuel engine,gasoline,2998,"yes, with intercooler","8,7 ","5,7 ","7,7 ",175,1830,yes
BMW,BMW 6-series GT,"2020-present,5doors,hatchback",2020-present,5doors,hatchback,2020 BMW 640i XDrive Gran Turismo ,2020,e (large mid-size),8 speed automatic,Automatic,fuel engine,gasoline,2998,"yes, with intercooler","9,4 ","6,0 ","8,2 ",187,1885,yes
BMW,BMW 6-series GT,"2020-present,5doors,hatchback",2020-present,5doors,hatchback,2020 BMW 620d Gran Turismo ,2020,e (large mid-size),8 speed automatic,Automatic,fuel engine,diesel,1995,"yes, with intercooler","5,0 ","4,1 ","5,4 ",141,1810,yes
BMW,BMW 6-series GT,"2020-present,5doors,hatchback",2020-present,5doors,hatchback,2020 BMW 620d XDrive Gran Turismo ,2020,e (large mid-size),8 speed automatic,Automatic,fuel engine,diesel,1995,"yes, with intercooler",- ,- ,"5,7 ",148,1865,yes
BMW,BMW 6-series GT,"2020-present,5doors,hatchback",2020-present,5doors,hatchback,2020 BMW 630d Gran Turismo ,2020,e (large mid-size),8 speed automatic,Automatic,fuel engine,diesel,2993,"yes, with intercooler","6,1 ","4,2 ","5,8 ",151,1905,yes
BMW,BMW 6-series GT,"2020-present,5doors,hatchback",2020-present,5doors,hatchback,2020 BMW 630d XDrive Gran Turismo ,2020,e (large mid-size),8 speed automatic,Automatic,fuel engine,diesel,2993,"yes, with intercooler","6,4 ","4,4 ","6,0 ",158,1965,yes
BMW,BMW 6-series GT,"2020-present,5doors,hatchback",2020-present,5doors,hatchback,2020 BMW 640d XDrive Gran Turismo ,2020,e (large mid-size),8 speed automatic,Automatic,fuel engine,diesel,2993,"yes, with intercooler","6,7 ","4,6 ","6,2 ",163,1985,yes
BMW,BMW 6-series GT,"2017-2020,5doors,hatchback",2017-2020,5doors,hatchback,2018 BMW 620d Gran Turismo ,2018,e (large mid-size),8 speed automatic,Automatic,fuel engine,diesel,1995,"yes, with intercooler","5,4 ","4,5 ",,127,1740,yes
BMW,BMW 6-series GT,"2017-2020,5doors,hatchback",2017-2020,5doors,hatchback,2018 BMW 620d XDrive Gran Turismo ,2018,e (large mid-size),8 speed automatic,Automatic,fuel engine,diesel,1995,"yes, with intercooler",- ,- ,,136,1795,yes
BMW,BMW 6-series GT,"2017-2020,5doors,hatchback",2017-2020,5doors,hatchback,2017 BMW 630i Gran Turismo ,2017,e (large mid-size),8 speed automatic,Automatic,fuel engine,gasoline,1998,"yes, with intercooler",- ,- ,,142,1695,yes
BMW,BMW 6-series GT,"2017-2020,5doors,hatchback",2017-2020,5doors,hatchback,2017 BMW 640i Gran Turismo ,2017,e (large mid-size),8 speed automatic,Automatic,fuel engine,gasoline,2998,"yes, with intercooler",- ,- ,,159,1745,yes
BMW,BMW 6-series GT,"2017-2020,5doors,hatchback",2017-2020,5doors,hatchback,2017 BMW 640i XDrive Gran Turismo ,2017,e (large mid-size),8 speed automatic,Automatic,fuel engine,gasoline,2998,"yes, with intercooler",- ,- ,,177,1810,yes
BMW,BMW 6-series GT,"2017-2020,5doors,hatchback",2017-2020,5doors,hatchback,2017 BMW 630d Gran Turismo ,2017,e (large mid-size),8 speed automatic,Automatic,fuel engine,diesel,2993,"yes, with intercooler",- ,- ,,129,1800,yes
BMW,BMW 6-series GT,"2017-2020,5doors,hatchback",2017-2020,5doors,hatchback,2017 BMW 630d XDrive Gran Turismo ,2017,e (large mid-size),8 speed automatic,Automatic,fuel engine,diesel,2993,"yes, with intercooler",- ,- ,,144,1855,yes
BMW,BMW 6-series GT,"2017-2020,5doors,hatchback",2017-2020,5doors,hatchback,2017 BMW 640d XDrive Gran Turismo ,2017,e (large mid-size),8 speed automatic,Automatic,fuel engine,diesel,2993,"yes, with intercooler",- ,- ,,153,1910,yes
BMW,BMW 2-series Cabrio,"2017-present,2doors,convertible",2017-present,2doors,convertible,2017 BMW 218i Cabrio ,2017,g (sport),6 speed manual transmission,Manual,fuel engine,gasoline,1499,"yes, with intercooler",- ,- ,,174,1475,yes
BMW,BMW 2-series Cabrio,"2017-present,2doors,convertible",2017-present,2doors,convertible,2017 BMW 218i Cabrio ,2017,g (sport),8 speed automatic,Automatic,fuel engine,gasoline,1499,"yes, with intercooler",- ,- ,,172,1495,yes
BMW,BMW 2-series Cabrio,"2017-present,2doors,convertible",2017-present,2doors,convertible,2017 BMW 220i Cabrio ,2017,g (sport),8 speed automatic,Automatic,fuel engine,gasoline,1998,"yes, with intercooler",- ,- ,,172,1515,yes
BMW,BMW 2-series Cabrio,"2017-present,2doors,convertible",2017-present,2doors,convertible,2017 BMW 230i Cabrio ,2017,g (sport),8 speed automatic,Automatic,fuel engine,gasoline,1998,"yes, with intercooler",- ,- ,,173,1550,yes
BMW,BMW 2-series Cabrio,"2017-present,2doors,convertible",2017-present,2doors,convertible,2017 BMW M240i Cabrio ,2017,g (sport),6 speed manual transmission,Manual,fuel engine,gasoline,2998,"yes, with intercooler","11,2 ","6,6 ",,189,1595,yes
BMW,BMW 2-series Cabrio,"2017-present,2doors,convertible",2017-present,2doors,convertible,2017 BMW M240i Cabrio ,2017,g (sport),8 speed automatic,Automatic,fuel engine,gasoline,2998,"yes, with intercooler",- ,- ,,197,1595,yes
BMW,BMW 2-series Cabrio,"2017-present,2doors,convertible",2017-present,2doors,convertible,2017 BMW M240i XDrive Cabrio ,2017,g (sport),8 speed automatic,Automatic,fuel engine,gasoline,2998,"yes, with intercooler",- ,- ,,206,1660,yes
BMW,BMW 2-series Cabrio,"2017-present,2doors,convertible",2017-present,2doors,convertible,2017 BMW 218d Cabrio ,2017,g (sport),6 speed manual transmission,Manual,fuel engine,diesel,1995,"yes, with intercooler",- ,- ,,155,1500,yes
BMW,BMW 2-series Cabrio,"2017-present,2doors,convertible",2017-present,2doors,convertible,2017 BMW 218d Cabrio ,2017,g (sport),8 speed automatic,Automatic,fuel engine,diesel,1995,"yes, with intercooler",- ,- ,,155,1515,yes
BMW,BMW 2-series Cabrio,"2017-present,2doors,convertible",2017-present,2doors,convertible,2017 BMW 220d Cabrio ,2017,g (sport),6 speed manual transmission,Manual,fuel engine,diesel,1995,"yes, with intercooler",- ,- ,,153,1515,yes
BMW,BMW 2-series Cabrio,"2017-present,2doors,convertible",2017-present,2doors,convertible,2017 BMW 220d Cabrio ,2017,g (sport),8 speed automatic,Automatic,fuel engine,diesel,1995,"yes, with intercooler",- ,- ,,156,1535,yes
BMW,BMW 2-series Cabrio,"2017-present,2doors,convertible",2017-present,2doors,convertible,2017 BMW 225d Cabrio ,2017,g (sport),8 speed automatic,Automatic,fuel engine,diesel,1995,"yes, with intercooler",- ,- ,,121,1555,yes
BMW,BMW 2-series Cabrio,"2015-2017,2doors,convertible",2015-2017,2doors,convertible,2016 BMW 220i Cabrio ,2016,g (sport),6 speed manual transmission,Manual,fuel engine,gasoline,1998,"yes, with intercooler","8,0 ","4,9 ",,139,1495,yes
BMW,BMW 2-series Cabrio,"2015-2017,2doors,convertible",2015-2017,2doors,convertible,2016 BMW 220i Cabrio ,2016,g (sport),8 speed automatic,Automatic,fuel engine,gasoline,1998,"yes, with intercooler","7,2 ","4,9 ",,131,1515,yes
BMW,BMW 2-series Cabrio,"2015-2017,2doors,convertible",2015-2017,2doors,convertible,2016 BMW 230i Cabrio ,2016,g (sport),6 speed manual transmission,Manual,fuel engine,gasoline,1998,"yes, with intercooler","8,5 ","5,3 ",,149,1515,yes
BMW,BMW 2-series Cabrio,"2015-2017,2doors,convertible",2015-2017,2doors,convertible,2016 BMW 230i Cabrio ,2016,g (sport),8 speed automatic,Automatic,fuel engine,gasoline,1998,"yes, with intercooler","7,6 ","5,1 ",,137,1545,yes
BMW,BMW 2-series Cabrio,"2015-2017,2doors,convertible",2015-2017,2doors,convertible,2016 BMW M240i Cabrio ,2016,g (sport),6 speed manual transmission,Manual,fuel engine,gasoline,2998,"yes, with intercooler","11,2 ","6,6 ",,189,1590,yes
BMW,BMW 2-series Cabrio,"2015-2017,2doors,convertible",2015-2017,2doors,convertible,2016 BMW M240i Cabrio ,2016,g (sport),8 speed automatic,Automatic,fuel engine,gasoline,2998,"yes, with intercooler","9,8 ","6,0 ",,169,1605,yes
BMW,BMW 2-series Cabrio,"2015-2017,2doors,convertible",2015-2017,2doors,convertible,2016 BMW M240i XDrive Cabrio ,2016,g (sport),8 speed automatic,Automatic,fuel engine,gasoline,2998,"yes, with intercooler","10,4 ","6,3 ",,179,1655,yes
BMW,BMW 2-series Cabrio,"2015-2017,2doors,convertible",2015-2017,2doors,convertible,2015 BMW 218i Cabrio ,2015,g (sport),6 speed manual transmission,Manual,fuel engine,gasoline,1499,"yes, with intercooler","6,9 ","4,7 ",,129,1470,yes
BMW,BMW 2-series Cabrio,"2015-2017,2doors,convertible",2015-2017,2doors,convertible,2015 BMW 218i Cabrio ,2015,g (sport),8 speed automatic,Automatic,fuel engine,gasoline,1499,"yes, with intercooler","6,5 ","4,6 ",,124,1490,yes
BMW,BMW 2-series Cabrio,"2015-2017,2doors,convertible",2015-2017,2doors,convertible,2015 BMW 220i Cabrio ,2015,g (sport),6 speed manual transmission,Manual,fuel engine,gasoline,1997,"yes, with intercooler","8,9 ","5,1 ",,152,1485,yes
BMW,BMW 2-series Cabrio,"2015-2017,2doors,convertible",2015-2017,2doors,convertible,2015 BMW 220i Cabrio ,2015,g (sport),8 speed automatic,Automatic,fuel engine,gasoline,1997,"yes, with intercooler","8,3 ","5,0 ",,144,1505,yes
BMW,BMW 2-series Cabrio,"2015-2017,2doors,convertible",2015-2017,2doors,convertible,2015 BMW 228i Cabrio ,2015,g (sport),6 speed manual transmission,Manual,fuel engine,gasoline,1997,"yes, with intercooler","9,1 ","5,5 ",,159,1510,yes
BMW,BMW 2-series Cabrio,"2015-2017,2doors,convertible",2015-2017,2doors,convertible,2015 BMW 228i Cabrio ,2015,g (sport),8 speed automatic,Automatic,fuel engine,gasoline,1997,"yes, with intercooler","8,8 ","5,3 ",,154,1530,yes
BMW,BMW 2-series Cabrio,"2015-2017,2doors,convertible",2015-2017,2doors,convertible,2015 BMW M235i Cabrio ,2015,g (sport),6 speed manual transmission,Manual,fuel engine,gasoline,2979,"yes, with intercooler","11,5 ","6,8 ",,199,1575,yes
BMW,BMW 2-series Cabrio,"2015-2017,2doors,convertible",2015-2017,2doors,convertible,2015 BMW M235i Cabrio ,2015,g (sport),8 speed automatic,Automatic,fuel engine,gasoline,2979,"yes, with intercooler","10,7 ","6,2 ",,184,1595,yes
BMW,BMW 2-series Cabrio,"2015-2017,2doors,convertible",2015-2017,2doors,convertible,2015 BMW M235i XDrive Cabrio ,2015,g (sport),8 speed automatic,Automatic,fuel engine,gasoline,2979,"yes, with intercooler","11,3 ","6,5 ",,193,1645,yes
BMW,BMW 2-series Cabrio,"2015-2017,2doors,convertible",2015-2017,2doors,convertible,2015 BMW 218d Cabrio ,2015,g (sport),6 speed manual transmission,Manual,fuel engine,diesel,1995,"yes, with intercooler","5,4 ","3,9 ",,114,1495,yes
BMW,BMW 2-series Cabrio,"2015-2017,2doors,convertible",2015-2017,2doors,convertible,2015 BMW 218d Cabrio ,2015,g (sport),8 speed automatic,Automatic,fuel engine,diesel,1995,"yes, with intercooler","4,9 ","3,6 ",,108,1515,yes
